Video_title,Video_description,Location_name,Location_address,Location_x_coor,Location_y_coor
Big Bear Bald Eagle Wide View - Cam 2,"This live feed is owned and operated by Friends of Big Bear Valley, a 501c3 nonprofit organization. Any public use of the live ...","Bear Valley, a","2280 CA-207, Bear Valley, CA 95223, USA",38.4926051,-120.0442661
"🔴 24/7 LIVE: Wildlife In The Forest | Fox, Badger, Deer, Marten, Birds - By Morten Hilmer",Welcome to the peaceful nature of Denmark. My name is Morten Hilmer and this is my backyard. This 24/7 livestream reveals the ...,"Fox, Badger,","Railway Ln, Wellow, Bath BA2 8QG, UK",51.322976,-2.3745093
Decorah Eagles - North Nest powered by EXPLORE.org,"Take a peek inside this massive bald eagle nest in Decorah, Iowa. Find out the best time to watch live and learn more about these ...","eagle nest in Decorah, Iowa.","Decorah, IA 52101, USA",43.30330559999999,-91.7857092
West End Bald Eagle Cam powered by EXPLORE.org,"Full nest history https://www.iws.org/west-end-nest-history From the west end of Catalina Island, where the sun sets over the ...","Catalina Island, where the sun","Santa Catalina Island, California 90704, USA",33.3878856,-118.4163103
Kitten Rescue Cat Cam powered by EXPLORE.org,"This private room at Kitten Rescue Sanctuary in Los Angeles is the perfect place to watch tiny kittens eat, play, learn and grow.",Rescue Sanctuary in Los Angeles,"Los Angeles, CA, USA",34.0549076,-118.242643
Tropical Reef Camera powered by EXPLORE.org,This tropical reef exhibit is modeled after the coast of Palau and houses more than 1000 animals. Find out the best times to watch ...,Palau and houses more than,Palau,7.514979999999999,134.58252
International Wolf Center North Camera powered by EXPLORE.org,Best Viewing Hours: 6-9 a.m. and 5 to 8 p.m CT The International Wolf Center advances the survival of wolf populations by ...,The International Wolf Center advances,"International Wolf Center, 1396 MN-169, Ely, MN 55731, USA",47.9057806,-91.82782399999999
Sloth TV powered by EXPLORE.org,Support Toucan Rescue Ranch during the Sloth Iron Man Games: https://www.mightycause.com/story/Slothironmangames2023 ...,Support Toucan Rescue Ranch during,"Toucan Rescue Ranch, Off of Route 112 near downtown San Josecito, Heredia, San Josecito, Costa Rica",10.0257056,-84.0351463
Mesmerizing Jellyfish Cam at Aquarium of the Pacific. Play on large screen TV!,The slow propulsions of these west coast sea nettles are mesmerizing. Watch live and learn more about this fascinating species ...,Aquarium of the Pacific. Play,"100 Aquarium Way, Long Beach, CA 90802, USA",33.7619735,-118.1969738
International Wolf Center South Camera powered by EXPLORE.org,Best Viewing Hours: 6-9 a.m. and 5 to 8 p.m CT At the upper reaches of Minnesota this camera is situated on the south side of a ...,International Wolf Center South Camera,"International Wolf Center, 1396 MN-169, Ely, MN 55731, USA",47.9057806,-91.82782399999999
Red Panda Forest Park powered by EXPLORE.org,Live views of adorable red pandas! Love Animals and Nature? Subscribe to this channel: https://goo.gl/nCZiaJ Welcome to ...,Panda Forest,"Willow Creek, 5216 S Westnedge Ave, Portage, MI 49002, USA",42.2415625,-85.5905518
Texas Wildlife in an Austin Backyard powered by EXPLORE.org,This camera is broadcast in partnership with @TexasBackyardWildlife We have 68 cameras watching the wildlife in our 5-acre ...,Texas Wildlife in an Austin,"Austin, TX, USA",30.267153,-97.7430608
Pipeline Cam powered by EXPLORE.org,Welcome to the Banzai Pipeline--one of the most infamous surf breaks in the world. Watch live and learn more about Pipeline on ...,,,0,0
Shark Cam powered by EXPLORE.org,What marine life is found 34 miles off the coast of North Carolina? Watch live and find out more about the sharks residing in these ...,coast of North Carolina? Watch,"North Carolina, USA",35.7595731,-79.01929969999999
Utopia Village Edge-of-Wall Underwater Reef Cam powered by EXPLORE.org,"The camera is installed 400 ft from shore at a depth of 30 ft, by the edge of a steep reef wall that drops 120 ft to the ocean floor ...",Utopia Village Edge-of-Wall Underwater Reef,"32FX+2G4, Utila, Bay Islands, Honduras",16.0725215,-86.95116929999999
Coral Predators Cam powered by EXPLORE.org,This camera displays a variety of coral predators. Although you would think fish and other animals that eat and attack coral would ...,This camera displays a variety,"218 Laredo Dr, Decatur, GA 30030, USA",33.7813802,-84.26973939999999
Frying Pan Barracuda Cam powered by EXPLORE.org,"You are watching live footage from beneath the tower located approximately 34 miles seaward of Cape Fear, North Carolina.",North Carolina,"North Carolina, USA",35.7595731,-79.01929969999999
OrcaLab Main Cams powered by EXPLORE.org,"Welcome to OrcaLab! This season we will be streaming four camera locations through this main stream. OrcaLab Base, Sea Lion ...",,,0,0
Utopia Village Top-of-Wall Underwater Reef Cam powered by EXPLORE.org,"This camera is installed 400 ft from shore at a depth of 25 ft, on the top of a steep reef wall that drops 120 ft to the ocean floor ...",Utopia Village Top-of-Wall Underwater Reef,"32FX+2G4, Utila, Bay Islands, Honduras",16.0725215,-86.95116929999999
Utopia Village Back-of-Dock Underwater Reef Cams powered by EXPLORE.org,"These 3 cameras are installed 165 ft from shore under our dock, at a depth of 10 ft, providing a 180-degree view of the shallow ...",Utopia Village Back-of-Dock Underwater Reef,"32FX+2G4, Utila, Bay Islands, Honduras",16.0725215,-86.95116929999999
Strider Rubbing Beach - Underwater powered by EXPLORE.org,See for yourself what it looks like when the orcas in British Columbia's Johnstone Strait take part in the unique behavior called ...,British Columbia's Johnstone Strait take,"Johnstone Strait, British Columbia, Canada",50.4621313,-126.0443078
USC Wrigley Catalina Marine Reserve powered by EXPLORE.org,Watch the USC Wrigley Catalina Marine Reserve - LIVE This camera sits underneath the dock of the Wrigley Marine Science ...,USC Wrigley Catalina Marine Reserve,"Santa Catalina Island, Avalon, CA 90704, USA",33.4448392,-118.4803887
Blue Cavern powered by EXPLORE.org,"This 142000-gallon, three-story exhibit at the Aquarium of the Pacific recreates the unique ecosystem off the coast of California's ...",Aquarium of the Pacific recreates,"100 Aquarium Way, Long Beach, CA 90802, USA",33.7619735,-118.1969738
Silver Springs Above Water Manatee Camera powered by EXPLORE.org,"This camera is an above water AXIS PTZ-camera showing a part of Silver Springs State Park where manatees, alligators, and a ...",Silver Springs State Park where,"Silver Springs State Park, 5656 E Silver Springs Blvd, Silver Springs, FL 34488, USA",29.2176535,-82.0553626
Homosassa Springs Above Water Manatees powered by EXPLORE.org,Discover what's been called “The most beautiful river and springs in the world” and a sanctuary for Manatees and an astounding ...,Homosassa Springs Above Water Manatees,"Homosassa Springs, FL, USA",28.8037059,-82.5761369
Strider Rubbing Beach Above Water powered by EXPLORE.org,Watch The Rubbing Beach Cam- LIVE Rubbing Beach is no ordinary beach! Watch from above as orcas swim close to the shore ...,beach! Watch from,"600 3rd St, Neptune Beach, FL 32266, USA",30.3197719,-81.398104
Above Water Manatee-Cam at Blue Spring State Park powered by EXPLORE.org,This camera shows the lower/mid spring run at Blue Spring State Park where manatees congregate during the winter months ...,Manatee-Cam at Blue Spring State,"Blue Spring State Park, Florida, USA",28.9467012,-81.338922
Utopia Village Underwater Underwater Reef Multi-Cams powered by EXPLORE.org,"These 6 cameras are installed 175 ft from shore at the end of our dock, at a depth of 10 ft, providing a 270-degree view of the ...",Utopia Village Underwater Underwater Reef,"32FX+2G4, Utila, Bay Islands, Honduras",16.0725215,-86.95116929999999
OrcaLab Sea Lion Beach powered byEXPLORE.org,"The rocky beach of British Columbia's Hanson Island is a popular ""haul-out"" spot for sea lions. Find out the best times to watch live ...",of British Columbia's Hanson Island,"Hanson Island, Mount Waddington A, BC, Canada",50.57526439999999,-126.7432958
"🔴 24/7 LIVE: Wildlife In The Forest | Fox, Badger, Deer, Marten, Birds - By Morten Hilmer",Welcome to the peaceful nature of Denmark. My name is Morten Hilmer and this is my backyard. This 24/7 livestream reveals the ...,"Fox, Badger,","Railway Ln, Wellow, Bath BA2 8QG, UK",51.322976,-2.3745093
Coral City Camera (Miami&#39;s Underwater Livestream),"The Coral City Camera is an underwater camera streaming live from an urban reef environment in Miami, Florida. It is located ...",live from an urban reef,"Scheepsbouwweg 8, 3089 JW Rotterdam, Netherlands",51.8982029,4.419052199999999
Sea Otter Cam | Vancouver Aquarium,Watch our playful otters explore their habitat online before you see them in person during your next visit to Vancouver Aquarium.,your next visit to Vancouver,"Vancouver, BC, Canada",49.2827291,-123.1207375
Fairbanks Aurora Camera powered by EXPLORE.org,This camera faces the northern sky to catch the aurora. The aurora in Fairbanks can be very active starting in the fall through early ...,aurora. The aurora in Fairbanks,"Aurora, Fairbanks, AK 99709, USA",64.8569444,-147.7586111
Redwood River Cam powered by EXPLORE.org,"Watch as the Smith River weaves its way through Jedediah Smith Redwoods State Park, home to the tallest trees on earth. Watch ...","Jedediah Smith Redwoods State Park,","Jedediah Smith Redwoods State Park, Crescent City, CA 95531, USA",41.7955087,-124.1046827
Catalina West End Bald Eagle Overlook powered by EXPLORE.org,"From the west end of Catalina Island, where the sun sets over the ocean, watch as this lifelong pair of eagle parents lay and ...","Catalina Island, where the sun","Santa Catalina Island, California 90704, USA",33.3878856,-118.4163103
Sloth TV Playground Cam powered by EXPLORE.org,"Watch as sloths and other fantastic wildlife learn how to climb, dig, and perfect their natural behaviors before entering the next ...",,,0,0
Northern Lights powered by EXPLORE.org,"Sit back and watch the most magical light show the planet has to offer: the northern lights, or aurora borealis. Streaming from ...",,,0,0
Sky Tower cam powered by EXPLORE.org,Check out the lush forests of North Carolina from a bird's eye view from high up on the Wilmington Tower. Watch live and explore ...,Sky Tower,"Victoria Street West, Auckland CBD, Auckland 1010, New Zealand",-36.848448,174.762191
Joe&#39;s Camera Lab | powered by EXPLORE.org,Explore.org's manager of field operations tests many cameras from his scenic yard in Arizona. Enjoy this one of a kind view of the ...,scenic yard in Arizona. Enjoy,"Scenic, AZ 86432, USA",36.7815498,-114.0035057
Mission Mountain Range powered by Explore.org,Get stunning views of the spectacular Mission Mountain Range from Ninepipes Lodge. Located within the Ninepipe Wildlife ...,from Ninepipes Lodge. Located within,"69286 US-93 South, Charlo, MT 59824, USA",47.4406737,-114.0964254
"Live Deer, Bird &amp; Wildlife Cam","Welcome Everyone to Woodlands Critter Quest! We wonder what critter, or how many critters, will show up next and hope you will ...",,,0,0
Live Sea Otter Cam - Monterey Bay Aquarium,"Enjoy the antics of rescued southern sea otters as they romp, tumble and wrestle live (7 a.m.-7 p.m. Pacific time) from the ...",Sea Otter Cam - Monterey,"Monterey, CA, USA",36.6002378,-121.8946761
Live Jelly Cam - Monterey Bay Aquarium,Get an up-close look at the delicate sea nettles in our Open Sea exhibit (7 a.m.-7 p.m. Pacific time). Watch as their long tentacles ...,Live Jelly Cam - Monterey,"Monterey, CA, USA",36.6002378,-121.8946761
Live Moon Jelly Cam - Monterey Bay Aquarium,"Watch greater Pacific moon jellies (Aurelia labiata) move with the current as they pulse their delicate, translucent bells in our ...",Moon Jelly Cam - Monterey,"Monterey, CA, USA",36.6002378,-121.8946761
Live Open Sea Cam - Monterey Bay Aquarium,"Open Sea Exhibit at the Monterey Bay Aquarium The Open Sea exhibit is a mysterious, mesmerizing world where life looms large.",Monterey Bay Aquarium The Open,"886 Cannery Row, Monterey, CA 93940, USA",36.6182017,-121.9019479